miso,Siren: Survive the Island,8.1,9.5,10,9.0,10,10
Kdramafan_2007,Siren: Survive the Island,8.1,9.5,9.0,10,7.0,10
Nico,Siren: Survive the Island,8.1,4.0,8.0,3.0,1.5,1.0
Soraya Nur Aina,Siren: Survive the Island,8.1,9.0,9.0,9.5,9.0,9.0
HayaChul,Woman of Dignity,8.1,10,10,10,9.0,8.0
Linus,Woman of Dignity,8.1,10,10,10,9.0,8.0
msptt_,Woman of Dignity,8.1,7.0,5.0,10,5.5,5.5
nfabjoy,Woman of Dignity,8.1,7.0,8.0,8.0,1.5,1.5
m i n z y,Woman of Dignity,8.1,10,9.5,10,10,10
Zoe Freebird,Woman of Dignity,8.1,7.5,6.0,9.0,8.0,6.0
Archeia Faith,Woman of Dignity,8.1,7.5,7.5,8.0,8.0,6.0
nasimzhosein,Woman of Dignity,8.1,8.0,8.5,9.0,8.0,7.5
TinaBel,Woman of Dignity,8.1,8.0,8.5,9.0,7.5,7.0
Hikari Hoshi-kun,Don't Forget I Love You,8.1,8.0,7.5,7.5,7.5,9.5
Komentator isenk,Don't Forget I Love You,8.1,10,10,10,8.0,7.0
ctechperson,Don't Forget I Love You,8.1,9.0,9.5,9.0,7.0,9.0
chea,Don't Forget I Love You,8.1,9.0,8.0,10,10,7.0
Lunna,Don't Forget I Love You,8.1,8.0,8.0,9.5,6.0,6.5
addicted2dramas,Chihayafuru: Kami no Ku,8.1,10,10,10,10,9.0
userbmc,Chihayafuru: Kami no Ku,8.1,9.5,10,10,7.5,10
PHope,Chihayafuru: Kami no Ku,8.1,6.0,7.5,8.0,5.5,4.5
primmy_pie,Chihayafuru: Kami no Ku,8.1,10,10,10,7.0,8.0
Gwihanakimmy,Chihayafuru: Kami no Ku,8.1,10,10,10,10,10
Crazy about Asian dramas,Chihayafuru: Kami no Ku,8.1,10,10,10,10,8.0
Feryew,Chihayafuru: Kami no Ku,8.1,9.5,10,10,7.0,10
devitto,Scandal Makers,8.1,9.0,9.0,8.0,10,7.0
Rourou,Scandal Makers,8.1,8.0,8.0,8.0,7.0,6.0
NewKDramaAddict,Scandal Makers,8.1,9.0,9.0,9.0,10,9.0
TPixie_12,Scandal Makers,8.1,9.0,9.0,8.0,8.0,8.0
blueaoichan,Scandal Makers,8.1,9.0,9.0,9.0,10,8.0
J Overland,Scandal Makers,8.1,10,9.0,10,9.5,10
Arihant D,Scandal Makers,8.1,10,10,10,9.0,10
Shiro,Scandal Makers,8.1,8.0,9.0,8.0,5.5,6.0
Colum H,Scandal Makers,8.1,6.5,6.0,8.0,5.0,6.0
ltspada,Scandal Makers,8.1,8.5,8.5,8.5,8.0,7.5
Tia Lockhart,Scandal Makers,8.1,9.0,8.5,9.0,9.0,7.5
Duray,The Penthouse Season 3: War in Life,8.1,9.0,9.0,10,10,8.5
UnexpectedPerson,The Penthouse Season 3: War in Life,8.1,4.0,4.0,8.0,9.0,1.0
pao3719,The Penthouse Season 3: War in Life,8.1,5.5,2.0,7.0,1.0,1.0
elsdramas,The Penthouse Season 3: War in Life,8.1,9.0,8.5,10,9.0,7.0
Sndycheeks,The Penthouse Season 3: War in Life,8.1,7.5,4.0,10,10,5.5
ur hot mom,The Penthouse Season 3: War in Life,8.1,8.0,7.0,10,7.5,6.0
Riri Bells,The Penthouse Season 3: War in Life,8.1,1.0,1.5,10,5.5,1.5
Ana99,The Penthouse Season 3: War in Life,8.1,9.0,9.5,10,10,8.0
Farihat,The Penthouse Season 3: War in Life,8.1,8.0,6.0,10,8.0,5.0
WAD Classics,The Penthouse Season 3: War in Life,8.1,9.0,7.5,10,10,7.5
Shebbie,The Penthouse Season 3: War in Life,8.1,6.0,6.5,8.5,7.0,1.5
Amy A,The Penthouse Season 3: War in Life,8.1,1.5,1.5,10,6.0,1.5
zel,The Penthouse Season 3: War in Life,8.1,3.0,1.0,10,3.0,1.0
Mi Young Onisa,The Penthouse Season 3: War in Life,8.1,9.5,9.5,10,10,9.5
Azel Masih,The Penthouse Season 3: War in Life,8.1,9.0,9.0,10,7.0,10
mangodesu,The Penthouse Season 3: War in Life,8.1,6.0,6.0,10,7.5,1.5
MG Mayre,The Penthouse Season 3: War in Life,8.1,6.0,5.0,10,7.5,1.0
Linos_girl,The Penthouse Season 3: War in Life,8.1,10,10,10,10,8.0
drami,The Penthouse Season 3: War in Life,8.1,5.0,6.5,9.0,10,6.0
Naega_ur_fav_pookie_wook,The Penthouse Season 3: War in Life,8.1,10,10,10,10,10
Amen,The Penthouse Season 3: War in Life,8.1,8.5,9.0,10,6.0,5.0
gubovanina,The Penthouse Season 3: War in Life,8.1,8.5,9.0,10,10,7.0
Alyx,The Penthouse Season 3: War in Life,8.1,9.5,9.5,9.5,6.0,9.0
sloanefix,The Penthouse Season 3: War in Life,8.1,8.0,7.0,9.5,9.0,7.0
Carly,The Penthouse Season 3: War in Life,8.1,4.0,2.0,7.0,8.0,1.0
DevinParrish,The Penthouse Season 3: War in Life,8.1,8.5,8.5,10,7.5,9.5
Roco,The Penthouse Season 3: War in Life,8.1,9.0,8.5,10,10,7.5
Kurogasensei,The Penthouse Season 3: War in Life,8.1,7.5,6.0,9.0,8.0,6.0
bunmi,The Penthouse Season 3: War in Life,8.1,8.0,7.5,7.5,10,8.0
OneWinterDay,The Penthouse Season 3: War in Life,8.1,4.0,1.5,4.0,5.5,1.0
aad,The Penthouse Season 3: War in Life,8.1,9.5,9.0,9.5,10,9.0
Eris Black,The Penthouse Season 3: War in Life,8.1,6.0,5.0,9.0,7.0,4.5
lalala,The Penthouse Season 3: War in Life,8.1,9.0,8.5,9.5,9.0,8.0
akojuuzou,The Penthouse Season 3: War in Life,8.1,7.5,8.5,7.5,7.0,5.5
Perry,The Penthouse Season 3: War in Life,8.1,4.5,3.5,9.0,5.0,4.0
Sidhika Trisha,The Penthouse Season 3: War in Life,8.1,9.0,10,10,8.5,8.0
