Username,Title,Rating,overall_rating,story,acting,music,rewatch
Yuno,The Untamed,9.0,10,10,10,10,10
Moonlit_flowers,The Untamed,9.0,10,10,10,10,10
blackandwhite_,The Untamed,9.0,10,10,10,10,10
laletursun,The Untamed,9.0,10,10,10,10,10
QUEEN,The Untamed,9.0,10,10,10,10,10
Yaoi BL,The Untamed,9.0,9.0,9.0,9.0,9.0,9.0
Terrenceworld,The Untamed,9.0,9.5,9.5,9.5,7.0,10
Trang Nguyen,The Untamed,9.0,10,10,10,10,10
sanjushinchan,The Untamed,9.0,9.5,10,7.0,10,10
Alhan07,The Untamed,9.0,10,10,10,10,10
Alexandra Alvarado,The Untamed,9.0,10,10,10,10,10
chellebliss,The Untamed,9.0,10,10,10,10,10
ck_teens,The Untamed,9.0,9.0,9.0,9.5,7.0,9.0
Filsaf Falah,The Untamed,9.0,9.5,9.5,10,10,9.5
XS33,The Untamed,9.0,7.5,7.0,7.0,10,5.0
Rania tarek,The Untamed,9.0,10,10,10,10,10
Nicole Wong,The Untamed,9.0,10,10,10,8.5,9.0
wolfie,The Untamed,9.0,10,10,10,10,10
take-to-the-sky,The Untamed,9.0,8.5,8.0,9.5,7.0,8.5
Angie❤,The Untamed,9.0,10,10,10,10,10
Litzue,The Untamed,9.0,10,10,10,10,10
QiLing,The Untamed,9.0,10,10,10,9.5,10
HOPE WORLD,The Untamed,9.0,10,10,10,10,10
becomingwren,The Untamed,9.0,8.5,8.0,8.0,9.0,9.0
Sonja,The Untamed,9.0,10,10,10,10,10
mollythesadbitch,The Untamed,9.0,10,9.0,10,10,10
Cee,The Untamed,9.0,9.0,10,8.0,9.0,9.0
Tiger,The Untamed,9.0,10,10,10,10,10
Chayanist Songpatanasilp,The Untamed,9.0,9.5,10,9.0,10,9.0
marzzz,The Untamed,9.0,10,10,10,10,10
Bozzmoms,The Untamed,9.0,9.5,10,10,10,10
fio_el,The Untamed,9.0,8.0,8.5,9.0,10,1.0
asianblreviews,The Untamed,9.0,8.5,8.0,8.0,9.0,8.0
SuibianWWX,The Untamed,9.0,10,10,10,10,10
ScholarSnail,The Untamed,9.0,9.0,8.5,9.5,9.0,8.0
Daichelle,The Untamed,9.0,9.0,10,9.0,9.0,10
Giza,The Untamed,9.0,10,10,10,10,10
Ally010518,The Untamed,9.0,9.5,9.0,9.5,10,10
Mhadel Leine,The Untamed,9.0,10,10,10,10,10
krispykureem,The Untamed,9.0,9.5,10,9.5,9.0,8.0
coffwalk Yun,The Untamed,9.0,10,10,10,10,10
YingLuo,The Untamed,9.0,10,10,10,10,10
fara,The Untamed,9.0,10,10,10,10,10
ygshyyh,The Untamed,9.0,10,10,10,10,10
madamsprout,The Untamed,9.0,9.0,10,9.5,9.0,10
heavenly2001,The Untamed,9.0,10,10,10,10,10
nat,The Untamed,9.0,10,10,10,10,10
Shakira Fredericks,The Untamed,9.0,10,10,9.5,9.5,10
Tsukimoom,The Untamed,9.0,10,10,10,10,10
50FiftillidideeBrain,The Untamed,9.0,9.0,9.0,9.0,7.0,10
Juliane,The Untamed,9.0,9.5,9.5,9.5,10,8.0
Selly,The Untamed,9.0,10,10,10,10,10
PurpleMagic,The Untamed,9.0,10,9.0,10,10,10
TrashtalKing,The Untamed,9.0,7.5,7.0,6.0,9.0,5.0
Queenie Arda,The Untamed,9.0,10,10,10,10,10
Qissyn,The Untamed,9.0,10,10,10,10,10
mseriesjseriesm,The Untamed,9.0,9.0,8.0,9.0,10,7.5
Halvemoon,The Untamed,9.0,10,10,10,10,10
Bibimbap,The Untamed,9.0,10,10,10,10,10
speedermein,The Untamed,9.0,10,10,10,10,10
Crazy about Asian dramas,The Untamed,9.0,10,10,10,10,10
Chai ni,The Untamed,9.0,10,10,10,10,10
J0k3r,The Untamed,9.0,9.5,9.5,10,10,10
Shin Yu Jung,The Untamed,9.0,10,10,10,10,10
min woo,The Untamed,9.0,10,10,10,10,10
Snt Sunee,The Untamed,9.0,10,10,10,10,10
LittleHorse416,The Untamed,9.0,9.0,9.0,10,10,10
jaycee1004,The Untamed,9.0,10,10,10,10,10
Sui Bian,The Untamed,9.0,10,10,10,10,10
Ghost,The Untamed,9.0,9.5,9.0,10,9.0,10
Don Lim,The Untamed,9.0,9.5,10,9.5,9.5,9.5
Them,The Untamed,9.0,10,10,10,10,9.5
Leilei,The Untamed,9.0,10,10,10,10,10
valastsacrifice,The Untamed,9.0,10,10,10,10,10
emma,The Untamed,9.0,10,10,10,10,10
midnightmoonlace,The Untamed,9.0,10,10,9.5,10,10
Sandushani Gunawardhane,The Untamed,9.0,10,10,10,10,10
Captionface,The Untamed,9.0,9.5,9.5,8.0,7.5,10
yrynoy,The Untamed,9.0,10,10,10,10,10
HangyulWonwoo LucasMyung,The Untamed,9.0,10,9.5,9.5,9.5,9.5
Hikigaya,The Untamed,9.0,1.5,1.0,7.0,1.0,1.0
Sakurai Soara,The Untamed,9.0,10,10,10,10,10
Lord Muku,The Untamed,9.0,4.5,7.5,4.5,4.5,1.0
mia,The Untamed,9.0,10,10,10,10,10
wang jianbo,The Untamed,9.0,10,10,10,10,10
P JM,The Untamed,9.0,10,10,10,10,10
Coral1n3_idn,The Untamed,9.0,6.0,6.0,6.0,10,6.0
GiGi JaZee Jae,The Untamed,9.0,10,10,10,10,10
yamunavaddi,The Untamed,9.0,10,10,10,10,10
angellllll,The Untamed,9.0,4.0,8.0,8.0,7.0,1.0
TrippleR7,The Untamed,9.0,8.0,9.5,9.0,9.5,8.0
Kyara,The Untamed,9.0,10,10,10,10,10
Cool_As_Always,The Untamed,9.0,4.0,10,2.0,10,1.0
Liqiu Wang,The Untamed,9.0,10,10,10,10,10
SadLemone,The Untamed,9.0,7.0,6.0,8.0,10,6.0
Philip Wong,The Untamed,9.0,3.0,6.0,3.0,6.0,1.0
silent_gun,The Untamed,9.0,2.5,4.0,3.0,7.0,1.0
Stefania,The Untamed,9.0,8.5,9.0,5.5,10,5.5
Rhea,The Untamed,9.0,6.5,7.0,6.5,6.5,6.5
Dramaland,The Untamed,9.0,10,9.5,9.0,10,10
Emi,The Untamed,9.0,10,10,10,10,10
potato_O,The Untamed,9.0,4.5,5.0,8.5,1.0,1.0
Anastasia Conde,The Untamed,9.0,10,10,10,9.5,9.5
KassyFan27,The Untamed,9.0,1.0,1.5,2.0,1.5,1.0
Melika Kh,The Untamed,9.0,10,10,10,10,10
Leo,The Untamed,9.0,10,10,10,10,10
7704933,The Untamed,9.0,10,10,10,9.0,10
PHope,The Untamed,9.0,9.0,9.0,9.0,5.0,8.0
Jonah Esgana,The Untamed,9.0,10,10,10,10,10
Olivia H,The Untamed,9.0,10,9.0,10,10,10
MeanPapu23,The Untamed,9.0,10,10,10,10,10
Rhea,The Untamed,9.0,10,10,10,10,10
bxys lxvx,The Untamed,9.0,10,10,10,10,10
LiceBite,The Untamed,9.0,10,10,10,10,10
Sexyvillainess,The Untamed,9.0,10,9.0,9.5,9.5,9.5
Miss Lee,The Untamed,9.0,9.0,9.5,9.0,10,9.0
Ann Kelina,The Untamed,9.0,10,10,10,10,10
timotey,The Untamed,9.0,10,10,9.5,10,10
xdoubleentendre,The Untamed,9.0,10,10,9.0,10,10
Hyukfied,The Untamed,9.0,9.5,10,10,8.5,10
PikaChu,The Untamed,9.0,9.5,9.5,9.0,10,9.0
Pihu_26,The Untamed,9.0,10,10,10,10,10
Decharoenirand,The Untamed,9.0,10,10,10,8.0,10
lifecode,The Untamed,9.0,9.5,9.5,10,10,10
Diluxnn,The Untamed,9.0,10,10,10,10,10
BriBri,The Untamed,9.0,10,10,10,10,10
raindrop3,The Untamed,9.0,10,10,10,10,7.0
Ellie_ly,The Untamed,9.0,9.5,9.5,10,9.5,9.5
nrs_drn,The Untamed,9.0,10,10,10,10,10
fifi,The Untamed,9.0,9.0,8.5,9.5,10,3.0
autumn flower,The Untamed,9.0,10,10,10,10,9.0
Xiao26xiao,The Untamed,9.0,10,10,10,10,10
Momo,The Untamed,9.0,10,10,10,10,10
Anais,The Untamed,9.0,8.5,8.0,9.0,8.5,8.0
MyDramaTicLife,The Untamed,9.0,10,10,8.5,8.5,9.5
Dae,The Untamed,9.0,9.0,10,10,9.5,8.0
minnieboogie,The Untamed,9.0,8.5,8.0,9.0,8.5,8.5
happysun,The Untamed,9.0,9.5,9.0,10,10,9.0
Angel457,The Untamed,9.0,10,9.5,10,10,10
Tehzeeb Khan,The Untamed,9.0,10,10,10,10,10
S Q,The Untamed,9.0,8.5,9.0,10,5.5,8.0
Rasika keluskar,The Untamed,9.0,10,10,10,10,10
Jamelia,The Untamed,9.0,10,10,10,10,10
Patricia Naumann Tan,The Untamed,9.0,10,10,10,10,10
Alexandra,The Untamed,9.0,10,10,10,10,10
adisquietingmuse,The Untamed,9.0,9.0,10,7.5,10,9.0
keaidezhan,The Untamed,9.0,10,10,10,10,10
scrap sd,The Untamed,9.0,9.5,10,9.0,10,10
Novy Meliana Laksanawati,The Untamed,9.0,9.0,9.5,9.0,10,8.5
Sakura2710,The Untamed,9.0,10,10,10,10,10
Monia.989,The Untamed,9.0,10,10,10,10,10
Ayihhaikh,The Untamed,9.0,10,10,10,10,10
Hee-Jin,The Untamed,9.0,10,10,10,10,10
priyashashank,The Untamed,9.0,10,10,10,10,10
CeciliaChannelC,The Untamed,9.0,10,10,10,10,10
Farrrrrrrr,The Untamed,9.0,9.0,9.5,8.5,9.0,9.5
mbvmjz,The Untamed,9.0,10,10,10,10,10
V_haruya,The Untamed,9.0,9.5,9.0,9.5,10,10
Kitty,The Untamed,9.0,10,10,10,10,10
Sudhi_A,The Untamed,9.0,10,10,10,10,10
Basyar 89,The Untamed,9.0,10,10,10,10,10
roylyn,The Untamed,9.0,10,10,10,10,10
ARMY Encyclopedia,The Untamed,9.0,10,10,10,10,10
whit3butt3rfly,The Untamed,9.0,9.0,9.0,9.0,10,10
ルーズリアガ ライア,The Untamed,9.0,10,10,10,10,10
Jess4163,The Untamed,9.0,8.0,9.0,7.0,10,8.0
Drama Addict,The Untamed,9.0,10,10,10,10,10
Ailyn,The Untamed,9.0,4.0,7.0,4.0,4.0,2.0
Mreow,The Untamed,9.0,6.0,6.0,6.0,6.0,6.0
Leo,The Untamed,9.0,10,10,10,10,10
jes,The Untamed,9.0,10,10,10,10,10
Joasiaonowska,The Untamed,9.0,10,10,10,10,10
VeliazwanaVel,The Untamed,9.0,10,10,10,10,10
supcutiewannaride,The Untamed,9.0,10,10,10,10,10
Kwave,The Untamed,9.0,4.5,4.0,7.5,4.5,1.0
Komentator isenk,The Untamed,9.0,7.5,7.0,9.0,8.0,6.0
Ng Kah Weng,The Untamed,9.0,6.5,5.5,7.0,5.5,5.0
lalalala,The Untamed,9.0,4.0,2.5,7.0,6.0,1.0
Xtinew,The Untamed,9.0,8.0,9.0,10,10,7.5
Keiz,The Untamed,9.0,1.0,1.0,1.0,1.0,1.0
Noh Shinwoo,The Untamed,9.0,5.0,4.0,8.0,6.0,1.0
TalkingWithYou,The Untamed,9.0,3.0,4.0,6.0,3.0,1.0
MatildediShabran,The Untamed,9.0,5.5,5.5,7.0,6.0,4.0
achuland,The Untamed,9.0,8.5,9.0,9.0,9.0,7.0
cris,The Untamed,9.0,10,10,10,10,10
daegucci,The Untamed,9.0,10,10,10,10,10
Link,The Untamed,9.0,7.0,7.5,8.0,7.5,5.0
Grimmz,The Untamed,9.0,6.0,8.0,6.0,8.0,4.0
Somin,The Untamed,9.0,10,9.0,10,10,10
zhe_azz,The Untamed,9.0,9.5,9.0,9.0,10,10
yenphily,The Untamed,9.0,9.5,8.0,9.0,10,8.0
Surya Aab,The Untamed,9.0,10,10,10,10,10
Nono98,The Untamed,9.0,10,10,10,10,10
GenesisVlez,The Untamed,9.0,10,9.0,10,9.5,10
jane,The Untamed,9.0,10,10,10,10,10
nathania cornelia,The Untamed,9.0,10,9.0,10,10,9.0
rukisskiss,The Untamed,9.0,10,10,10,10,5.5
clinchamps,The Untamed,9.0,8.5,7.5,9.0,9.0,8.5
daavka ch,The Untamed,9.0,10,10,10,10,10
WiwiMisia,The Untamed,9.0,10,10,10,10,10
Azzahra Larasati,The Untamed,9.0,8.5,8.0,9.0,9.0,8.0
Jen Zuniga,The Untamed,9.0,10,10,10,10,10
Tu Srii Anggarani,The Untamed,9.0,10,10,10,10,10
Liana Vilken,The Untamed,9.0,10,10,10,10,10
Lisia81,The Untamed,9.0,10,9.5,10,10,10
Gisele Dias Andrade,The Untamed,9.0,10,10,10,10,10
Nikmatus Solikha,The Untamed,9.0,10,10,10,10,10
ItzelREst,The Untamed,9.0,10,10,10,10,10
ShellaChoi201,The Untamed,9.0,10,10,10,10,10
marina,The Untamed,9.0,10,10,10,10,10
solar,The Untamed,9.0,10,10,10,10,10
Bunnyny,The Untamed,9.0,10,10,10,10,10
febrianitaintan,The Untamed,9.0,10,10,10,10,10
ppadthai18x,The Untamed,9.0,10,10,10,10,10
Kinanti,The Untamed,9.0,10,9.0,10,10,9.5
PHYen0612,The Untamed,9.0,10,10,10,10,10
gigi,The Untamed,9.0,10,10,10,10,10
SeanXiaozhan Wangxian,The Untamed,9.0,10,10,10,10,10
jujulinz,The Untamed,9.0,10,10,9.5,9.0,9.5
Nikmatus_Solikha,The Untamed,9.0,10,10,10,10,10
tear4km,The Untamed,9.0,10,10,10,10,10
lina,The Untamed,9.0,10,9.0,10,10,9.0
ariadny_oliv,The Untamed,9.0,10,10,10,10,10
Leilane,The Untamed,9.0,10,10,10,10,10
Chiara_wolfstar,The Untamed,9.0,10,10,10,10,10
Giuliana Rizzo,The Untamed,9.0,10,10,10,10,10
Larissa Hans,The Untamed,9.0,10,10,10,10,10
Anissa Febrina,The Untamed,9.0,10,10,10,10,10
Ita_ajah,The Untamed,9.0,10,10,10,10,10
BoysLoveGuy,The Untamed,9.0,9.5,9.5,10,10,9.0
Aledebby,The Untamed,9.0,7.5,7.0,10,8.0,6.5
Lars,The Untamed,9.0,7.5,9.0,8.0,8.0,7.5
Andy,The Untamed,9.0,10,10,10,10,10
PRIGESS MICHEL,The Untamed,9.0,10,9.5,10,10,9.5
Cecylia,The Untamed,9.0,10,10,10,10,10
Marzan,The Untamed,9.0,10,10,10,10,10
Natashalves,The Untamed,9.0,10,10,10,10,10
Jessica Bogado,The Untamed,9.0,10,10,10,10,10
Montserrat Garcia,The Untamed,9.0,10,10,10,10,10
Cris Calfin,The Untamed,9.0,10,10,10,10,10
brenosenna,The Untamed,9.0,2.0,2.0,4.0,4.0,1.0
sekc,Mr. Queen,9.0,9.5,10,10,10,8.0
Samona,Mr. Queen,9.0,9.0,9.0,9.0,9.0,8.0
barbiedreams,Mr. Queen,9.0,9.5,10,10,7.0,9.0
Aditya Kalyanathaya,Mr. Queen,9.0,10,10,10,10,10
greenteaberry,Mr. Queen,9.0,9.0,9.0,9.0,8.0,9.0
Anushka,Mr. Queen,9.0,9.0,8.5,9.5,8.5,7.5
Ridehm,Mr. Queen,9.0,9.5,9.0,9.0,9.0,8.5
MusicInsteadOfLife,Mr. Queen,9.0,10,10,10,10,10
skyisrose,Mr. Queen,9.0,10,10,10,10,10
NHTiger,Mr. Queen,9.0,10,10,10,9.5,10
Hamulen,Mr. Queen,9.0,10,10,10,10,10
Choi Taek,Mr. Queen,9.0,10,10,10,10,10
Turtle Stomper,Mr. Queen,9.0,10,10,10,10,10
NoobieFan,Mr. Queen,9.0,10,10,10,9.0,10
Akriti,Mr. Queen,9.0,9.5,10,10,10,9.0
Celeste Moore,Mr. Queen,9.0,10,9.5,10,10,10
melval1,Mr. Queen,9.0,10,10,10,9.0,10
Ttanveer14,Mr. Queen,9.0,10,9.0,10,9.0,10
Brena Figueiredo,Mr. Queen,9.0,9.5,9.5,10,10,9.5
sapphira29,Mr. Queen,9.0,10,10,10,10,10
HappyLooove,Mr. Queen,9.0,10,9.0,10,10,6.5
jmss,Mr. Queen,9.0,10,10,10,10,10
He Lian,Mr. Queen,9.0,10,10,10,10,10
Nushi,Mr. Queen,9.0,10,9.0,10,10,10
Mister Romantic,Mr. Queen,9.0,9.0,9.0,10,9.5,8.0
Conservative Torch,Mr. Queen,9.0,10,10,10,9.5,10
Rosie Kookie,Mr. Queen,9.0,10,10,10,10,10
Rina,Mr. Queen,9.0,10,8.5,10,10,9.5
Jasmine,Mr. Queen,9.0,9.0,9.0,10,9.0,8.0
leen,Mr. Queen,9.0,10,10,10,9.5,10
ureshii,Mr. Queen,9.0,9.0,8.5,10,10,8.0
Maya,Mr. Queen,9.0,10,8.5,10,10,10
Mya0306,Mr. Queen,9.0,10,10,10,10,10
priom0,Mr. Queen,9.0,9.5,9.5,9.5,9.5,9.5
My Liberation Notes,Mr. Queen,9.0,10,10,10,10,10
Lyra Enterina,Mr. Queen,9.0,10,9.5,10,10,10
Aditi Khanvilkar,Mr. Queen,9.0,10,10,10,8.0,10
Anjelle,Mr. Queen,9.0,8.5,8.0,10,10,7.0
K-lover61,Mr. Queen,9.0,10,10,10,10,10
Kawaii433,Mr. Queen,9.0,10,10,10,10,10
Aparna Santhosh,Mr. Queen,9.0,10,10,10,10,10
Hanah,Mr. Queen,9.0,8.5,8.5,9.0,8.0,7.5
tsuyoi_hikari,Mr. Queen,9.0,9.0,9.5,9.5,8.0,10
Bluebell5,Mr. Queen,9.0,4.5,2.0,10,10,1.0
djohangaon,Mr. Queen,9.0,7.5,5.0,9.5,8.0,7.0
Hunter9x,Mr. Queen,9.0,10,9.5,10,9.0,10
SD1D Enthusiast,Mr. Queen,9.0,1.0,4.0,10,8.0,1.0
aishachul,Mr. Queen,9.0,10,10,10,6.5,10
ponnu,Mr. Queen,9.0,10,9.0,10,10,8.0
dreamingsnowflake,Mr. Queen,9.0,3.5,4.0,9.0,6.0,2.5
brazilddeoboki,Mr. Queen,9.0,7.5,4.5,9.5,8.0,6.0
Strangerkid,Mr. Queen,9.0,9.5,9.5,10,10,8.5
sahere,Mr. Queen,9.0,6.0,3.0,10,8.0,1.0
khady tall,Mr. Queen,9.0,4.0,2.0,8.0,5.5,1.0
Silvia Andrito,Mr. Queen,9.0,10,10,10,10,10
darkchocolate89,Mr. Queen,9.0,10,10,10,10,10
Itsthenerdcorner,Mr. Queen,9.0,2.5,9.5,10,10,9.0
Renee Fong,Mr. Queen,9.0,10,10,10,10,10
Sandy Prater,Mr. Queen,9.0,9.0,8.0,10,10,8.0
Simbiisagirl,Mr. Queen,9.0,10,10,10,10,7.0
Kprinz,Mr. Queen,9.0,10,10,10,7.5,10
janec,Mr. Queen,9.0,5.0,6.5,6.5,6.5,3.5
Alice R,Mr. Queen,9.0,10,10,10,10,10
pancakemanis,Mr. Queen,9.0,10,9.5,10,9.5,10
stangidle,Mr. Queen,9.0,9.0,9.0,10,7.0,10
Fastforward,Mr. Queen,9.0,9.0,9.5,10,9.5,9.0
kingsqueen,Mr. Queen,9.0,9.5,10,9.5,9.5,7.0
Efrain Jorge,Mr. Queen,9.0,9.5,9.0,10,9.5,10
mich2216,Mr. Queen,9.0,7.0,7.0,10,10,7.0
clarissa3658,Mr. Queen,9.0,8.5,9.5,10,9.5,9.0
Elendilka,Mr. Queen,9.0,10,10,10,10,10
PickyPrincess11,Mr. Queen,9.0,8.0,8.0,10,7.0,6.0
radika,Mr. Queen,9.0,8.5,5.0,10,9.0,7.0
Megan Lan,Mr. Queen,9.0,9.0,9.5,9.5,9.5,8.0
failedcloud,Mr. Queen,9.0,9.0,9.0,10,8.0,8.0
Beatrix,Mr. Queen,9.0,10,9.0,10,10,10
megitsune,Mr. Queen,9.0,7.0,6.5,10,7.5,7.5
morningstar,Mr. Queen,9.0,8.5,9.0,9.0,9.0,8.0
dripper,Mr. Queen,9.0,7.0,7.0,10,9.0,5.0
wongtonnn,Mr. Queen,9.0,10,10,10,10,10
yellowstone123,Mr. Queen,9.0,10,10,10,10,10
Sidhika Trisha,Mr. Queen,9.0,10,10,10,9.0,10
Diamond,Mr. Queen,9.0,10,9.0,10,10,9.5
beatriz,Mr. Queen,9.0,9.0,8.5,9.5,9.5,8.0
Mini-me,Mr. Queen,9.0,8.5,8.5,10,10,7.5
JustCruisin,Mr. Queen,9.0,3.5,5.0,10,10,3.0
diannie,Mr. Queen,9.0,6.0,4.0,10,8.0,2.0
Brookie665,Mr. Queen,9.0,8.5,8.0,10,10,5.0
Soula,Mr. Queen,9.0,7.0,7.5,8.0,8.0,5.0
Ali316,Mr. Queen,9.0,10,10,10,10,10
Dollphxne,Mr. Queen,9.0,9.0,8.5,10,8.5,10
Juelin,Mr. Queen,9.0,6.0,8.0,8.0,7.0,1.0
Kaisou,Mr. Queen,9.0,10,10,10,10,10
MUZE,Mr. Queen,9.0,10,10,10,10,10
eventidegardens,Mr. Queen,9.0,10,10,10,10,10
Elari,Mr. Queen,9.0,10,10,10,10,9.0
Jiminslove15,Mr. Queen,9.0,10,10,10,10,10
Maybeth PC,Mr. Queen,9.0,10,10,10,9.0,10
Yak,Mr. Queen,9.0,10,10,10,10,10
Christian,Mr. Queen,9.0,9.0,10,9.5,8.0,10
Blackheart,Mr. Queen,9.0,10,10,10,10,10
ennuifeels,Mr. Queen,9.0,10,10,10,10,10
aestheticbunz,Mr. Queen,9.0,9.0,9.0,9.0,9.0,8.0
kobeno1,Mr. Queen,9.0,10,10,10,10,10
Peridot83,Mr. Queen,9.0,7.0,7.5,8.0,7.0,7.0
dreamincameos,Mr. Queen,9.0,5.0,5.0,7.5,6.0,1.0
clara m,Mr. Queen,9.0,9.5,9.0,10,10,8.0
TC1111,Mr. Queen,9.0,9.5,8.0,10,9.5,8.5
thabadslandx,Mr. Queen,9.0,9.0,9.0,10,10,9.0
Bengongzhe,Mr. Queen,9.0,7.5,7.0,8.0,6.5,7.5
lux73,Mr. Queen,9.0,10,10,10,10,10
Cosmic,Mr. Queen,9.0,8.0,7.0,10,8.0,8.0
OppasBitch,Mr. Queen,9.0,10,9.5,10,8.5,9.0
fangirlinph,Mr. Queen,9.0,9.0,9.0,10,9.0,9.0
faketeeth,Mr. Queen,9.0,9.0,9.0,10,8.0,10
wisteriauroras,Mr. Queen,9.0,9.5,9.0,10,9.5,10
chuuu,Mr. Queen,9.0,10,10,10,8.0,7.0
lemon_smile,Mr. Queen,9.0,9.5,9.5,10,8.0,10
Shiroiwayagi,Mr. Queen,9.0,10,10,9.5,10,10
Lovelydove,Mr. Queen,9.0,9.5,9.5,9.5,7.0,8.5
Sweet0Girl,Mr. Queen,9.0,7.0,8.0,10,1.0,1.0
Nicolelodeon,Mr. Queen,9.0,9.5,10,9.0,10,8.0
Guy_on_the_Couch,Mr. Queen,9.0,10,10,10,9.5,9.5
yche09,Mr. Queen,9.0,9.0,9.0,10,10,8.5
Park Min,Mr. Queen,9.0,6.0,6.0,7.0,2.0,2.0
Duckk,Mr. Queen,9.0,7.0,5.0,10,7.0,4.0
Kdrama simp,Mr. Queen,9.0,9.0,9.5,10,8.0,8.5
Kim MC,Mr. Queen,9.0,9.5,9.5,10,10,10
Alexander,Mr. Queen,9.0,2.0,1.0,7.0,5.0,1.0
jmaryse,Mr. Queen,9.0,9.5,9.5,10,10,9.0
Sinasina,Mr. Queen,9.0,8.0,3.0,10,9.5,7.0
dramaspecial1004,Mr. Queen,9.0,8.0,8.0,9.0,7.0,8.0
perpy,Mr. Queen,9.0,9.5,9.0,9.5,9.0,9.5
NiSkywalker,Mr. Queen,9.0,8.5,8.5,10,9.5,8.0
Rezvaneh,Mr. Queen,9.0,10,10,10,10,10
dinze,Mr. Queen,9.0,8.0,7.5,9.0,8.0,6.5
Pecbounce,Mr. Queen,9.0,9.0,8.0,10,7.0,10
Unnursvana,Mr. Queen,9.0,7.0,7.0,8.5,6.5,7.5
AudienceofOne,Mr. Queen,9.0,8.0,8.0,10,10,8.0
Marina,Mr. Queen,9.0,10,10,10,10,10
Deborah Anane,Mr. Queen,9.0,10,10,10,9.0,10
Maritza,Mr. Queen,9.0,8.0,8.5,9.5,8.0,9.0
Kdramalover20,Mr. Queen,9.0,10,10,10,10,10
Eric,Mr. Queen,9.0,9.5,9.5,10,10,10
ILovePugsley,Mr. Queen,9.0,10,10,10,10,10
im_actress,Mr. Queen,9.0,9.0,9.5,9.0,8.0,9.0
VeSa,Mr. Queen,9.0,10,9.0,10,9.0,10
no go,Mr. Queen,9.0,10,9.5,10,8.0,10
good leprechaun,Mr. Queen,9.0,10,10,10,10,10
Sarang,Mr. Queen,9.0,10,10,10,10,10
dwejitoki07,Mr. Queen,9.0,10,10,10,10,10
Alaskan,Mr. Queen,9.0,9.0,9.0,9.0,9.5,9.0
JyelLindmark,Mr. Queen,9.0,9.5,10,10,9.5,8.5
Sagey_nightowl,Mr. Queen,9.0,8.0,4.0,8.5,6.5,8.0
CookiesForKids,Mr. Queen,9.0,9.5,9.0,10,10,9.5
Armadillo1mil,Mr. Queen,9.0,9.5,9.5,10,10,10
5hakes,Mr. Queen,9.0,9.0,9.5,9.5,9.5,9.0
ucantbserious,Mr. Queen,9.0,10,10,10,10,10
omo-omo-omo,Mr. Queen,9.0,10,10,10,10,10
SapphirePetal,Mr. Queen,9.0,5.0,5.0,7.0,8.0,3.0
Danny Yatim,Mr. Queen,9.0,9.0,9.0,10,7.5,8.0
JJahnavi,Mr. Queen,9.0,10,9.5,10,10,10
Ida Nyman,Mr. Queen,9.0,10,10,10,9.0,10
Songkangsgf,Mr. Queen,9.0,8.5,9.0,9.5,8.0,8.5
asmitha chandini,Mr. Queen,9.0,10,10,10,10,10
Ggrosz,Mr. Queen,9.0,10,10,10,10,10
Naomi Necro,Mr. Queen,9.0,9.5,9.5,10,10,9.0
Ninja WK,Mr. Queen,9.0,10,10,10,10,10
Saranya_Babu,Mr. Queen,9.0,9.5,9.5,9.5,10,9.0
Hikaru121,Mr. Queen,9.0,5.5,4.5,10,10,2.0
-roscpctal-,Mr. Queen,9.0,9.5,9.0,10,10,10
voldermortsunbae,Mr. Queen,9.0,8.0,7.0,9.0,8.0,6.5
MrsQueen,Mr. Queen,9.0,10,9.5,10,10,10
dudu nono,Mr. Queen,9.0,9.0,9.5,9.5,9.5,9.0
Daxtreme,Mr. Queen,9.0,7.5,7.5,8.0,7.5,7.0
Dikra,Mr. Queen,9.0,10,10,10,10,10
annaprata,Mr. Queen,9.0,9.0,9.5,10,8.5,9.0
Chatriel,Mr. Queen,9.0,9.0,8.0,10,7.0,7.0
pankku,Mr. Queen,9.0,9.5,10,10,8.0,9.0
eman1010,Mr. Queen,9.0,6.0,6.0,8.0,7.5,1.0
Wishstar,Mr. Queen,9.0,10,10,10,10,9.5
elworld707,Mr. Queen,9.0,10,10,9.5,9.5,10
Bouhoub,Mr. Queen,9.0,10,10,10,10,10
Komentator isenk,Mr. Queen,9.0,8.5,9.0,9.5,8.0,8.0
Linda_Engelhart,Mr. Queen,9.0,10,9.0,10,10,10
Izzy,Mr. Queen,9.0,7.0,6.5,8.0,5.5,6.0
hualian,Mr. Queen,9.0,10,9.5,10,10,10
sojuscoops,Mr. Queen,9.0,8.5,9.0,10,10,6.5
Crystalrm,Mr. Queen,9.0,9.5,9.0,10,10,10
Blluna,Mr. Queen,9.0,10,10,10,10,10
Milktea,Mr. Queen,9.0,8.0,5.0,9.0,7.0,8.0
rise n shine,Mr. Queen,9.0,9.5,10,10,9.0,7.0
TalkingWithYou,Mr. Queen,9.0,10,10,10,10,10
voidshay,Mr. Queen,9.0,9.5,9.5,9.5,7.5,5.5
BaiLaohu,Mr. Queen,9.0,10,10,10,10,10
Bali,Mr. Queen,9.0,10,10,10,10,9.0
Melody,Mr. Queen,9.0,10,10,10,9.0,10
boksilxlouie,Mr. Queen,9.0,9.0,8.5,9.5,8.0,9.0
lori,Mr. Queen,9.0,4.0,3.5,5.5,2.5,1.0
